Comunidades y Ciudades Autónomas;Periodo;Total
Total;2021M12;8.739
Total;2021M11;10.636
Total;2021M10;17.739
Total;2021M09;19.261
Total;2021M08;10.361
Total;2021M07;19.024
Total;2021M06;17.737
Total;2021M05;12.615
Total;2021M04;8.647
Total;2021M03;7.483
Total;2021M02;6.017
Total;2021M01;5.256
Total;2020M12;7.158
Total;2020M11;7.497
Total;2020M10;11.931
Total;2020M09;13.602
Total;2020M08;7.674
Total;2020M07;12.116
Total;2020M06;7.640
Total;2020M05;1.217
Total;2020M04;280
Total;2020M03;4.438
Total;2020M02;7.991
Total;2020M01;5.937
Total;2019M12;8.107
Total;2019M11;11.250
Total;2019M10;17.699
Total;2019M09;22.462
Total;2019M08;12.928
Total;2019M07;19.046
Total;2019M06;21.534
Total;2019M05;15.698
Total;2019M04;10.145
Total;2019M03;10.094
Total;2019M02;6.901
Total;2019M01;5.525
Total;2018M12;8.051
Total;2018M11;11.113
Total;2018M10;17.323
Total;2018M09;24.352
Total;2018M08;12.461
Total;2018M07;18.886
Total;2018M06;23.917
Total;2018M05;14.206
Total;2018M04;12.005
Total;2018M03;8.661
Total;2018M02;6.411
Total;2018M01;5.357
Total;2017M12;8.317
Total;2017M11;10.153
Total;2017M10;16.411
Total;2017M09;26.886
Total;2017M08;12.102
Total;2017M07;23.201
Total;2017M06;23.484
Total;2017M05;15.081
Total;2017M04;11.767
Total;2017M03;9.806
Total;2017M02;6.611
Total;2017M01;5.170
Total;2016M12;8.119
Total;2016M11;10.098
Total;2016M10;18.413
Total;2016M09;25.089
Total;2016M08;13.176
Total;2016M07;24.835
Total;2016M06;22.478
Total;2016M05;14.932
Total;2016M04;14.068
Total;2016M03;7.573
Total;2016M02;6.718
Total;2016M01;5.524
Total;2015M12;7.904
Total;2015M11;9.326
Total;2015M10;19.189
Total;2015M09;23.286
Total;2015M08;14.595
Total;2015M07;22.052
Total;2015M06;21.240
Total;2015M05;16.631
Total;2015M04;10.607
Total;2015M03;8.441
Total;2015M02;6.568
Total;2015M01;5.333
Total;2014M12;7.463
Total;2014M11;8.772
Total;2014M10;16.931
Total;2014M09;22.529
Total;2014M08;15.155
Total;2014M07;21.065
Total;2014M06;21.823
Total;2014M05;16.493
Total;2014M04;9.266
Total;2014M03;8.393
Total;2014M02;6.291
Total;2014M01;5.098
Total;2013M12;6.922
Total;2013M11;8.882
Total;2013M10;14.967
Total;2013M09;21.861
Total;2013M08;14.135
Total;2013M07;19.191
Total;2013M06;22.738
Total;2013M05;14.244
Total;2013M04;11.264
Total;2013M03;8.102
Total;2013M02;6.048
Total;2013M01;5.021
Total;2012M12;7.674
Total;2012M11;9.544
Total;2012M10;16.629
Total;2012M09;25.803
