,CCAA,Population,Top Born Months,Top Marriages Month
0,Andalucía,8446561,September,September
1,Cataluña,7675217,September,September
2,Madrid,6685471,May,September
3,Comunidad Valenciana,5003769,September,September
4,Galicia,2703334,September,August
5,Castilla y León,2408083,May,July
6,País Vasco,2207776,May,August
7,Castilla-La Mancha,2043539,September,October
8,Murcia,1493898,July,August
9,Aragón,1320794,July,September
10,Islas Baleares,1187800,September,September
11,Extremadura,1065371,May,August
12,Asturias,1022293,May,September
13,Navarra,654214,May,September
14,Cantabria,581078,September,September
15,La Rioja,315675,May,September
