Comunidades y Ciudades Autónomas;Periodo;Total
Total;2021M12;28.574
Total;2021M11;28.452
Total;2021M10;30.135
Total;2021M09;30.229
Total;2021M08;29.640
Total;2021M07;30.538
Total;2021M06;27.546
Total;2021M05;27.616
Total;2021M04;27.315
Total;2021M03;29.020
Total;2021M02;24.413
Total;2021M01;23.902
Total;2020M12;23.490
Total;2020M11;26.765
Total;2020M10;30.296
Total;2020M09;30.318
Total;2020M08;29.647
Total;2020M07;30.058
Total;2020M06;28.255
Total;2020M05;28.499
Total;2020M04;27.279
Total;2020M03;29.337
Total;2020M02;26.946
Total;2020M01;30.425
Total;2019M12;29.321
Total;2019M11;29.748
Total;2019M10;32.061
Total;2019M09;31.243
Total;2019M08;31.316
Total;2019M07;31.499
Total;2019M06;28.646
Total;2019M05;29.892
Total;2019M04;28.928
Total;2019M03;29.486
Total;2019M02;27.461
Total;2019M01;31.016
Total;2018M12;30.670
Total;2018M11;30.696
Total;2018M10;33.059
Total;2018M09;31.406
Total;2018M08;33.059
Total;2018M07;32.521
Total;2018M06;30.546
Total;2018M05;31.061
Total;2018M04;29.436
Total;2018M03;30.340
Total;2018M02;28.211
Total;2018M01;31.772
Total;2017M12;31.972
Total;2017M11;33.357
Total;2017M10;35.049
Total;2017M09;33.737
Total;2017M08;34.069
Total;2017M07;34.035
Total;2017M06;32.096
Total;2017M05;32.772
Total;2017M04;30.747
Total;2017M03;32.849
Total;2017M02;29.795
Total;2017M01;32.703
Total;2016M12;33.093
Total;2016M11;33.328
Total;2016M10;35.679
Total;2016M09;36.159
Total;2016M08;36.230
Total;2016M07;35.839
Total;2016M06;34.222
Total;2016M05;33.439
Total;2016M04;31.719
Total;2016M03;34.292
Total;2016M02;32.093
Total;2016M01;34.490
Total;2015M12;35.118
Total;2015M11;34.948
Total;2015M10;36.721
Total;2015M09;36.670
Total;2015M08;35.502
Total;2015M07;36.421
Total;2015M06;33.939
Total;2015M05;35.137
Total;2015M04;33.808
Total;2015M03;35.190
Total;2015M02;31.335
Total;2015M01;35.501
Total;2014M12;36.149
Total;2014M11;35.041
Total;2014M10;37.323
Total;2014M09;37.676
Total;2014M08;36.053
Total;2014M07;36.978
Total;2014M06;34.725
Total;2014M05;35.611
Total;2014M04;34.434
Total;2014M03;36.081
Total;2014M02;31.725
Total;2014M01;35.799
Total;2013M12;35.126
Total;2013M11;35.261
Total;2013M10;37.631
Total;2013M09;36.840
Total;2013M08;36.456
Total;2013M07;37.010
Total;2013M06;33.985
Total;2013M05;35.013
Total;2013M04;34.593
Total;2013M03;34.543
Total;2013M02;32.290
Total;2013M01;36.967
Total;2012M12;36.337
Total;2012M11;37.187
Total;2012M10;40.027
Total;2012M09;38.460
Total;2012M08;39.250
Total;2012M07;38.605
Total;2012M06;36.658
Total;2012M05;38.955
Total;2012M04;36.565
Total;2012M03;38.210
Total;2012M02;35.925
Total;2012M01;38.469
Total;2011M12;39.066
Total;2011M11;39.744
Total;2011M10;40.721
Total;2011M09;40.044
Total;2011M08;41.424
Total;2011M07;40.432
Total;2011M06;38.226
Total;2011M05;39.462
Total;2011M04;37.528
Total;2011M03;40.037
Total;2011M02;36.694
Total;2011M01;38.621
Total;2010M12;43.596
Total;2010M11;41.546
Total;2010M10;43.507
Total;2010M09;42.673
Total;2010M08;40.907
Total;2010M07;40.609
Total;2010M06;38.211
Total;2010M05;39.680
Total;2010M04;38.617
Total;2010M03;40.462
Total;2010M02;36.215
Total;2010M01;40.552
Total;2009M12;41.616
Total;2009M11;40.114
Total;2009M10;42.070
Total;2009M09;42.935
Total;2009M08;41.420
Total;2009M07;43.024
Total;2009M06;40.419
Total;2009M05;41.680
Total;2009M04;40.140
Total;2009M03;41.830
Total;2009M02;37.656
Total;2009M01;42.093
Total;2008M12;43.162
Total;2008M11;42.147
Total;2008M10;44.844
Total;2008M09;44.704
Total;2008M08;44.382
Total;2008M07;45.478
Total;2008M06;42.374
Total;2008M05;44.402
Total;2008M04;43.688
Total;2008M03;42.165
Total;2008M02;39.594
Total;2008M01;42.839
Total;2007M12;40.614
Total;2007M11;40.958
Total;2007M10;44.377
Total;2007M09;43.110
Total;2007M08;41.834
Total;2007M07;42.810
Total;2007M06;40.210
Total;2007M05;41.400
Total;2007M04;38.645
Total;2007M03;40.499
Total;2007M02;36.272
Total;2007M01;41.798
Total;2006M12;39.110
Total;2006M11;40.785
Total;2006M10;43.215
Total;2006M09;41.649
Total;2006M08;40.443
Total;2006M07;40.640
Total;2006M06;39.648
Total;2006M05;41.622
Total;2006M04;38.359
Total;2006M03;40.756
Total;2006M02;36.522
Total;2006M01;40.208
Total;2005M12;39.898
Total;2005M11;39.354
Total;2005M10;40.176
Total;2005M09;40.300
Total;2005M08;40.271
Total;2005M07;39.043
Total;2005M06;37.255
Total;2005M05;39.426
Total;2005M04;37.819
Total;2005M03;38.817
Total;2005M02;35.447
Total;2005M01;38.565
Total;2004M12;39.255
Total;2004M11;38.208
Total;2004M10;40.051
Total;2004M09;39.741
Total;2004M08;37.975
Total;2004M07;39.275
Total;2004M06;37.001
Total;2004M05;37.487
Total;2004M04;36.389
Total;2004M03;37.091
Total;2004M02;34.515
Total;2004M01;37.603
Total;2003M12;36.738
Total;2003M11;36.117
Total;2003M10;37.978
Total;2003M09;38.655
Total;2003M08;36.814
Total;2003M07;37.849
Total;2003M06;36.100
Total;2003M05;38.593
Total;2003M04;36.944
Total;2003M03;36.853
Total;2003M02;33.051
Total;2003M01;36.189
Total;2002M12;36.008
Total;2002M11;35.003
Total;2002M10;37.123
Total;2002M09;36.943
Total;2002M08;35.470
Total;2002M07;35.962
Total;2002M06;32.938
