Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2021;0,72
Total Nacional;2020;1,4
Total Nacional;2019;8,4
Total Nacional;2018;5,96
Total Nacional;2017;2,82
Total Nacional;2016;1,87
Total Nacional;2015;-0,2
Total Nacional;2014;-1,35
Total Nacional;2013;-4,63
Total Nacional;2012;-1,93
Total Nacional;2011;3,23
Total Nacional;2010;3,88
Total Nacional;2009;5,33
Total Nacional;2008;12,4
Total Nacional;2007;19,55
Total Nacional;2006;17,46
Total Nacional;2005;16,34
Total Nacional;2004;17,47
Total Nacional;2003;17,05
Total Nacional;2002;19,13
Total Nacional;2001;9,07
Total Nacional;2000;4,82
Total Nacional;1999;4,13
Total Nacional;1998;3,98
Total Nacional;1997;4,3
Total Nacional;1996;4,09
Total Nacional;1995;4,25
Total Nacional;1994;4,58
Total Nacional;1993;4,94
Total Nacional;1992;5,43
Total Nacional;1991;4,36
Total Nacional;1990;0,73
Total Nacional;1989;1,31
Total Nacional;1988;1,82
Total Nacional;1987;2,42
Total Nacional;1986;2,77
Total Nacional;1985;3,21
Total Nacional;1984;4,04
Total Nacional;1983;4,26
Total Nacional;1982;5,48
Total Nacional;1981;6,53
Total Nacional;1980;7,69
Total Nacional;1979;8,37
Total Nacional;1978;9,27
Total Nacional;1977;9,99
Total Nacional;1976;10,6
Total Nacional;1975;10,55
01 Andalucía;2021;1,99
01 Andalucía;2020;2,84
01 Andalucía;2019;6
01 Andalucía;2018;2,06
01 Andalucía;2017;0,15
01 Andalucía;2016;0,6
01 Andalucía;2015;0,49
01 Andalucía;2014;1,28
01 Andalucía;2013;-0,51
01 Andalucía;2012;1,83
01 Andalucía;2011;5,47
01 Andalucía;2010;6,75
01 Andalucía;2009;7,65
01 Andalucía;2008;11,56
01 Andalucía;2007;16,39
01 Andalucía;2006;15,25
01 Andalucía;2005;17,31
01 Andalucía;2004;17,54
01 Andalucía;2003;14
01 Andalucía;2002;13,37
01 Andalucía;2001;9,31
01 Andalucía;2000;5,07
01 Andalucía;1999;4,52
01 Andalucía;1998;4,32
01 Andalucía;1997;4,91
01 Andalucía;1996;4,75
01 Andalucía;1995;5,19
01 Andalucía;1994;5,72
01 Andalucía;1993;6,33
01 Andalucía;1992;6,94
01 Andalucía;1991;6,41
01 Andalucía;1990;5,52
01 Andalucía;1989;5,62
01 Andalucía;1988;6,05
01 Andalucía;1987;6,61
01 Andalucía;1986;6,97
01 Andalucía;1985;7,47
01 Andalucía;1984;8,45
01 Andalucía;1983;8,91
01 Andalucía;1982;9,81
01 Andalucía;1981;9,89
01 Andalucía;1980;5,8
01 Andalucía;1979;6,06
01 Andalucía;1978;6,49
01 Andalucía;1977;7,19
01 Andalucía;1976;7,25
01 Andalucía;1975;7,18
02 Aragón;2021;-12,93
02 Aragón;2020;0,6
02 Aragón;2019;7,36
02 Aragón;2018;5,66
02 Aragón;2017;-2,21
02 Aragón;2016;-1,92
02 Aragón;2015;-5,93
02 Aragón;2014;-3,69
02 Aragón;2013;-5,25
02 Aragón;2012;-4,09
02 Aragón;2011;-0,45
02 Aragón;2010;0,16
02 Aragón;2009;1,05
02 Aragón;2008;12,98
02 Aragón;2007;23,81
02 Aragón;2006;16,12
02 Aragón;2005;14,63
02 Aragón;2004;13,89
02 Aragón;2003;9,93
02 Aragón;2002;12,85
02 Aragón;2001;6,57
02 Aragón;2000;1,51
02 Aragón;1999;0,42
02 Aragón;1998;0,44
02 Aragón;1997;0,77
02 Aragón;1996;0,82
02 Aragón;1995;0,83
02 Aragón;1994;1,36
02 Aragón;1993;1,25
02 Aragón;1992;2,19
02 Aragón;1991;0,64
02 Aragón;1990;-2,96
02 Aragón;1989;-2,37
02 Aragón;1988;-1,74
02 Aragón;1987;-1,32
02 Aragón;1986;-1,25
02 Aragón;1985;-0,77
02 Aragón;1984;-0,09
02 Aragón;1983;0,3
02 Aragón;1982;1,87
02 Aragón;1981;2,44
02 Aragón;1980;2,19
02 Aragón;1979;2,66
02 Aragón;1978;3,19
02 Aragón;1977;3,85
02 Aragón;1976;4,27
02 Aragón;1975;3,9
03 Asturias, Principado de;2021;-6,6
03 Asturias, Principado de;2020;-5,92
03 Asturias, Principado de;2019;-3,24
03 Asturias, Principado de;2018;-5,29
03 Asturias, Principado de;2017;-6,46
03 Asturias, Principado de;2016;-6,41
03 Asturias, Principado de;2015;-8,57
03 Asturias, Principado de;2014;-8,63
03 Asturias, Principado de;2013;-8,3
03 Asturias, Principado de;2012;-6,07
03 Asturias, Principado de;2011;-1,46
03 Asturias, Principado de;2010;-1,14
03 Asturias, Principado de;2009;0,76
03 Asturias, Principado de;2008;4,84
03 Asturias, Principado de;2007;5,42
03 Asturias, Principado de;2006;1,7
03 Asturias, Principado de;2005;0,69
03 Asturias, Principado de;2004;0,33
03 Asturias, Principado de;2003;0,08
03 Asturias, Principado de;2002;-0,45
03 Asturias, Principado de;2001;-1,93
03 Asturias, Principado de;2000;-3,22
03 Asturias, Principado de;1999;-3,68
03 Asturias, Principado de;1998;-3,53
03 Asturias, Principado de;1997;-2,96
03 Asturias, Principado de;1996;-3,25
03 Asturias, Principado de;1995;-3,03
03 Asturias, Principado de;1994;-2,3
03 Asturias, Principado de;1993;-2,4
03 Asturias, Principado de;1992;-1,61
03 Asturias, Principado de;1991;-2,45
03 Asturias, Principado de;1990;-6,64
03 Asturias, Principado de;1989;-5,86
03 Asturias, Principado de;1988;-5,14
03 Asturias, Principado de;1987;-4
03 Asturias, Principado de;1986;-3,1
03 Asturias, Principado de;1985;-3
03 Asturias, Principado de;1984;-1,96
03 Asturias, Principado de;1983;-1,2
03 Asturias, Principado de;1982;-0,52
03 Asturias, Principado de;1981;1,54
03 Asturias, Principado de;1980;4,97
03 Asturias, Principado de;1979;5,63
03 Asturias, Principado de;1978;6,27
03 Asturias, Principado de;1977;7,02
03 Asturias, Principado de;1976;7,81
03 Asturias, Principado de;1975;7,52
04 Balears, Illes;2021;3,45
04 Balears, Illes;2020;7,45
04 Balears, Illes;2019;18,78
04 Balears, Illes;2018;18,11
04 Balears, Illes;2017;13,81
04 Balears, Illes;2016;13,48
04 Balears, Illes;2015;9,34
04 Balears, Illes;2014;8,15
04 Balears, Illes;2013;5,15
04 Balears, Illes;2012;8,51
04 Balears, Illes;2011;8,27
04 Balears, Illes;2010;7,33
04 Balears, Illes;2009;12,54
04 Balears, Illes;2008;25,82
04 Balears, Illes;2007;36,74
04 Balears, Illes;2006;35,35
04 Balears, Illes;2005;31,6
04 Balears, Illes;2004;29,39
04 Balears, Illes;2003;32,89
04 Balears, Illes;2002;44,2
04 Balears, Illes;2001;17,57
04 Balears, Illes;2000;15,93
04 Balears, Illes;1999;15,49
04 Balears, Illes;1998;15,55
04 Balears, Illes;1997;15,68
