Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2022;96,04
Total Nacional;2021;96,09
Total Nacional;2020;96,13
Total Nacional;2019;96,16
Total Nacional;2018;96,24
Total Nacional;2017;96,38
Total Nacional;2016;96,51
Total Nacional;2015;96,63
Total Nacional;2014;96,8
Total Nacional;2013;97,08
Total Nacional;2012;97,39
Total Nacional;2011;97,59
Total Nacional;2010;97,78
Total Nacional;2009;97,95
Total Nacional;2008;97,89
Total Nacional;2007;97,59
Total Nacional;2006;97,44
Total Nacional;2005;97,15
Total Nacional;2004;96,77
Total Nacional;2003;96,51
Total Nacional;2002;96,16
Total Nacional;2001;96,06
Total Nacional;2000;96,04
Total Nacional;1999;96,04
Total Nacional;1998;96,02
Total Nacional;1997;96,02
Total Nacional;1996;96,02
Total Nacional;1995;96,03
Total Nacional;1994;96,02
Total Nacional;1993;96
Total Nacional;1992;95,99
Total Nacional;1991;95,99
Total Nacional;1990;96,1
Total Nacional;1989;96,18
Total Nacional;1988;96,25
Total Nacional;1987;96,3
Total Nacional;1986;96,34
Total Nacional;1985;96,37
Total Nacional;1984;96,39
Total Nacional;1983;96,39
Total Nacional;1982;96,38
Total Nacional;1981;96,35
Total Nacional;1980;96,32
Total Nacional;1979;96,28
Total Nacional;1978;96,22
Total Nacional;1977;96,14
Total Nacional;1976;96,07
Total Nacional;1975;95,97
01 Andalucía;2022;97,33
01 Andalucía;2021;97,33
01 Andalucía;2020;97,41
01 Andalucía;2019;97,49
01 Andalucía;2018;97,6
01 Andalucía;2017;97,72
01 Andalucía;2016;97,81
01 Andalucía;2015;97,83
01 Andalucía;2014;97,93
01 Andalucía;2013;98,09
01 Andalucía;2012;98,28
01 Andalucía;2011;98,33
01 Andalucía;2010;98,35
01 Andalucía;2009;98,4
01 Andalucía;2008;98,33
01 Andalucía;2007;98,2
01 Andalucía;2006;98,15
01 Andalucía;2005;97,81
01 Andalucía;2004;97,44
01 Andalucía;2003;97,28
01 Andalucía;2002;97,13
01 Andalucía;2001;96,99
01 Andalucía;2000;96,98
01 Andalucía;1999;96,98
01 Andalucía;1998;96,99
01 Andalucía;1997;96,99
01 Andalucía;1996;97,01
01 Andalucía;1995;97,02
01 Andalucía;1994;97,01
01 Andalucía;1993;96,98
01 Andalucía;1992;96,97
01 Andalucía;1991;96,95
01 Andalucía;1990;97,01
01 Andalucía;1989;97,05
01 Andalucía;1988;97,07
01 Andalucía;1987;97,08
01 Andalucía;1986;97,09
01 Andalucía;1985;97,09
01 Andalucía;1984;97,08
01 Andalucía;1983;97,02
01 Andalucía;1982;96,98
01 Andalucía;1981;96,93
01 Andalucía;1980;96,89
01 Andalucía;1979;96,84
01 Andalucía;1978;96,79
01 Andalucía;1977;96,76
01 Andalucía;1976;96,71
01 Andalucía;1975;96,65
02 Aragón;2022;97,18
02 Aragón;2021;97,58
02 Aragón;2020;97,48
02 Aragón;2019;97,49
02 Aragón;2018;97,63
02 Aragón;2017;97,82
02 Aragón;2016;98,1
02 Aragón;2015;98,47
02 Aragón;2014;98,64
02 Aragón;2013;98,96
02 Aragón;2012;99,33
02 Aragón;2011;99,74
02 Aragón;2010;100,17
02 Aragón;2009;100,53
02 Aragón;2008;100,27
02 Aragón;2007;99,55
02 Aragón;2006;99,25
02 Aragón;2005;98,85
02 Aragón;2004;98,39
02 Aragón;2003;98,08
02 Aragón;2002;97,72
02 Aragón;2001;97,59
02 Aragón;2000;97,57
02 Aragón;1999;97,54
02 Aragón;1998;97,47
02 Aragón;1997;97,46
02 Aragón;1996;97,44
02 Aragón;1995;97,44
02 Aragón;1994;97,42
02 Aragón;1993;97,41
02 Aragón;1992;97,41
02 Aragón;1991;97,41
02 Aragón;1990;97,52
02 Aragón;1989;97,59
02 Aragón;1988;97,63
02 Aragón;1987;97,72
02 Aragón;1986;97,82
02 Aragón;1985;97,88
02 Aragón;1984;97,92
02 Aragón;1983;97,94
02 Aragón;1982;97,97
02 Aragón;1981;97,99
02 Aragón;1980;98,01
02 Aragón;1979;98,08
02 Aragón;1978;98,02
02 Aragón;1977;98
02 Aragón;1976;97,97
02 Aragón;1975;98
03 Asturias, Principado de;2022;91,54
03 Asturias, Principado de;2021;91,54
03 Asturias, Principado de;2020;91,57
03 Asturias, Principado de;2019;91,59
03 Asturias, Principado de;2018;91,61
03 Asturias, Principado de;2017;91,62
03 Asturias, Principado de;2016;91,71
03 Asturias, Principado de;2015;91,75
03 Asturias, Principado de;2014;91,9
03 Asturias, Principado de;2013;92,1
03 Asturias, Principado de;2012;92,25
03 Asturias, Principado de;2011;92,33
03 Asturias, Principado de;2010;92,42
03 Asturias, Principado de;2009;92,39
03 Asturias, Principado de;2008;92,19
03 Asturias, Principado de;2007;91,98
03 Asturias, Principado de;2006;91,98
03 Asturias, Principado de;2005;91,97
03 Asturias, Principado de;2004;91,97
03 Asturias, Principado de;2003;91,93
03 Asturias, Principado de;2002;91,9
03 Asturias, Principado de;2001;91,95
03 Asturias, Principado de;2000;92,04
03 Asturias, Principado de;1999;92,15
03 Asturias, Principado de;1998;92,3
03 Asturias, Principado de;1997;92,43
03 Asturias, Principado de;1996;92,57
03 Asturias, Principado de;1995;92,71
03 Asturias, Principado de;1994;92,88
