Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2021;3,13
Total Nacional;2020;4,63
Total Nacional;2019;9,64
Total Nacional;2018;7,15
Total Nacional;2017;3,51
Total Nacional;2016;1,88
Total Nacional;2015;-0,04
Total Nacional;2014;-2,04
Total Nacional;2013;-5,40
Total Nacional;2012;-3,05
Total Nacional;2011;-0,81
Total Nacional;2010;-0,92
Total Nacional;2009;0,28
Total Nacional;2008;6,76
01 Andalucía;2021;3,01
01 Andalucía;2020;3,91
01 Andalucía;2019;6,34
01 Andalucía;2018;2,99
01 Andalucía;2017;1,05
01 Andalucía;2016;0,62
01 Andalucía;2015;0,38
01 Andalucía;2014;0,02
01 Andalucía;2013;-1,60
01 Andalucía;2012;0,42
01 Andalucía;2011;1,85
01 Andalucía;2010;1,94
01 Andalucía;2009;2,40
01 Andalucía;2008;5,98
02 Aragón;2021;-9,64
02 Aragón;2020;4,81
02 Aragón;2019;9,36
02 Aragón;2018;7,59
02 Aragón;2017;0,61
02 Aragón;2016;0,85
02 Aragón;2015;-2,70
02 Aragón;2014;-1,60
02 Aragón;2013;-3,74
02 Aragón;2012;-2,38
02 Aragón;2011;-0,15
02 Aragón;2010;0,34
02 Aragón;2009;0,82
02 Aragón;2008;10,87
03 Asturias, Principado de;2021;1,33
03 Asturias, Principado de;2020;2,56
03 Asturias, Principado de;2019;4,64
03 Asturias, Principado de;2018;2,48
03 Asturias, Principado de;2017;1,22
03 Asturias, Principado de;2016;1,18
03 Asturias, Principado de;2015;-0,69
03 Asturias, Principado de;2014;-1,36
03 Asturias, Principado de;2013;-1,78
03 Asturias, Principado de;2012;-0,11
03 Asturias, Principado de;2011;1,40
03 Asturias, Principado de;2010;1,76
03 Asturias, Principado de;2009;2,50
03 Asturias, Principado de;2008;5,62
04 Balears, Illes;2021;4,70
04 Balears, Illes;2020;8,33
04 Balears, Illes;2019;15,97
04 Balears, Illes;2018;13,04
04 Balears, Illes;2017;9,28
04 Balears, Illes;2016;6,49
04 Balears, Illes;2015;4,37
04 Balears, Illes;2014;2,36
04 Balears, Illes;2013;-1,98
04 Balears, Illes;2012;1,87
04 Balears, Illes;2011;1,29
04 Balears, Illes;2010;0,30
04 Balears, Illes;2009;3,89
04 Balears, Illes;2008;13,35
05 Canarias;2021;5,65
05 Canarias;2020;5,06
05 Canarias;2019;14,24
05 Canarias;2018;13,74
05 Canarias;2017;9,43
05 Canarias;2016;7,93
05 Canarias;2015;4,07
05 Canarias;2014;3,35
05 Canarias;2013;2,16
05 Canarias;2012;5,93
05 Canarias;2011;5,54
05 Canarias;2010;5,17
05 Canarias;2009;5,70
05 Canarias;2008;11,66
06 Cantabria;2021;2,96
06 Cantabria;2020;3,41
06 Cantabria;2019;5,05
06 Cantabria;2018;4,25
06 Cantabria;2017;2,24
06 Cantabria;2016;0,79
06 Cantabria;2015;-1,20
06 Cantabria;2014;-0,84
06 Cantabria;2013;-2,33
06 Cantabria;2012;-1,75
06 Cantabria;2011;0,65
06 Cantabria;2010;0,79
06 Cantabria;2009;2,75
06 Cantabria;2008;7,38
07 Castilla y León;2021;1,91
07 Castilla y León;2020;2,23
07 Castilla y León;2019;4,56
07 Castilla y León;2018;3,23
07 Castilla y León;2017;0,91
07 Castilla y León;2016;0,34
07 Castilla y León;2015;-1,28
07 Castilla y León;2014;-0,41
07 Castilla y León;2013;-2,07
07 Castilla y León;2012;-0,91
07 Castilla y León;2011;0,48
07 Castilla y León;2010;0,78
07 Castilla y León;2009;0,99
07 Castilla y León;2008;4,76
08 Castilla - La Mancha;2021;1,46
08 Castilla - La Mancha;2020;3,11
08 Castilla - La Mancha;2019;6,86
08 Castilla - La Mancha;2018;3,81
08 Castilla - La Mancha;2017;-0,05
08 Castilla - La Mancha;2016;-0,26
08 Castilla - La Mancha;2015;-1,55
08 Castilla - La Mancha;2014;-1,82
08 Castilla - La Mancha;2013;-5,11
08 Castilla - La Mancha;2012;-2,81
08 Castilla - La Mancha;2011;0,03
08 Castilla - La Mancha;2010;0,14
08 Castilla - La Mancha;2009;0,73
08 Castilla - La Mancha;2008;6,32
09 Cataluña;2021;3,16
09 Cataluña;2020;6,14
09 Cataluña;2019;12,06
09 Cataluña;2018;11,16
09 Cataluña;2017;5,81
09 Cataluña;2016;3,23
09 Cataluña;2015;0,34
09 Cataluña;2014;-4,36
09 Cataluña;2013;-9,94
09 Cataluña;2012;-6,06
09 Cataluña;2011;-4,07
09 Cataluña;2010;-4,01
09 Cataluña;2009;-2,85
09 Cataluña;2008;7,51
10 Comunitat Valenciana;2021;6,04
10 Comunitat Valenciana;2020;5,03
10 Comunitat Valenciana;2019;11,51
10 Comunitat Valenciana;2018;6,52
10 Comunitat Valenciana;2017;2,72
10 Comunitat Valenciana;2016;0,47
10 Comunitat Valenciana;2015;-1,21
10 Comunitat Valenciana;2014;-3,92
10 Comunitat Valenciana;2013;-6,97
10 Comunitat Valenciana;2012;-5,34
10 Comunitat Valenciana;2011;-1,03
10 Comunitat Valenciana;2010;-2,02
10 Comunitat Valenciana;2009;-2,33
10 Comunitat Valenciana;2008;4,51
11 Extremadura;2021;0,90
11 Extremadura;2020;1,42
11 Extremadura;2019;2,46
11 Extremadura;2018;1,45
11 Extremadura;2017;0,06
11 Extremadura;2016;-0,80
11 Extremadura;2015;-0,84
11 Extremadura;2014;-0,67
11 Extremadura;2013;-1,19
11 Extremadura;2012;-0,06
11 Extremadura;2011;0,84
11 Extremadura;2010;0,46
11 Extremadura;2009;1,15
11 Extremadura;2008;2,30
12 Galicia;2021;3,39
12 Galicia;2020;2,79
12 Galicia;2019;6,27
12 Galicia;2018;4,77
12 Galicia;2017;2,53
12 Galicia;2016;1,59
12 Galicia;2015;0,01
12 Galicia;2014;-0,12
12 Galicia;2013;-1,41
12 Galicia;2012;-0,34
12 Galicia;2011;0,87
12 Galicia;2010;0,79
12 Galicia;2009;1,32
12 Galicia;2008;4,34
13 Madrid, Comunidad de;2021;4,20
13 Madrid, Comunidad de;2020;6,28
13 Madrid, Comunidad de;2019;13,98
13 Madrid, Comunidad de;2018;11,16
13 Madrid, Comunidad de;2017;6,67
13 Madrid, Comunidad de;2016;2,74
13 Madrid, Comunidad de;2015;-0,04
13 Madrid, Comunidad de;2014;-4,87
13 Madrid, Comunidad de;2013;-11,61
13 Madrid, Comunidad de;2012;-7,93
13 Madrid, Comunidad de;2011;-3,39
13 Madrid, Comunidad de;2010;-4,19
13 Madrid, Comunidad de;2009;-0,19
13 Madrid, Comunidad de;2008;9,04
14 Murcia, Región de;2021;4,52
14 Murcia, Región de;2020;4,37
14 Murcia, Región de;2019;10,10
