Periodo,Natality,Women_Age,Masculinity_Ratio,Marriages,Unemployment_Women,Economic_Crisis,Instagram_Tinder
2002,8.51,44.19,97.72,5967,16.058500000000002,0,0
2003,8.93,44.25,98.08,5722,16.1025,0,0
2004,9.21,44.28,98.39,5886,16.206,0,0
2005,9.2,44.32,98.85,5676,13.523499999999999,0,0
2006,9.57,44.29,99.25,5500,13.330000000000002,0,0
2007,9.82,44.27,99.55,5308,13.3115,0,0
2008,10.23,44.15,100.27,5046,18.969,0,0
2009,9.72,44.14,100.53,4719,23.1445,1,0
2010,9.63,44.3,100.17,4437,29.544,1,0
2011,9.38,44.49,99.74,4268,32.5205,1,0
2012,8.94,44.66,99.33,4665,35.251,1,0
2013,8.74,44.86,98.96,4323,42.985,1,1
2014,8.73,45.13,98.64,4163,41.9745,1,1
2015,8.59,45.36,98.47,4245,37.296499999999995,1,1
2016,8.3,45.58,98.1,4369,33.0455,0,1
2017,8.0,45.82,97.82,4226,27.884500000000003,0,1
2018,7.58,46.01,97.63,4091,25.055,0,1
2019,7.28,46.11,97.49,3893,26.023000000000003,0,1
2020,6.83,46.24,97.48,2237,27.0345,0,1
2021,7.21,46.34,97.58,4059,25.892000000000003,0,1
