Periodo,Natality,Women_Age,Masculinity_Ratio,Marriages,Unemployment_Women,Economic_Crisis,Instagram_Tinder
2002,9.63,41.69,99.05,8493,22.4035,0,0
2003,9.95,41.76,99.52,8585,23.481,0,0
2004,10.01,41.77,99.9,8882,22.7545,0,0
2005,10.03,41.79,100.34,8993,22.7795,0,0
2006,10.5,41.77,100.75,8833,21.609,0,0
2007,10.42,41.72,101.34,8983,18.017000000000003,0,0
2008,11.24,41.6,102.18,8889,23.5745,0,0
2009,10.75,41.63,102.34,7768,33.103,1,0
2010,10.52,41.78,102.19,7372,39.410000000000004,1,0
2011,10.16,41.96,101.92,7127,44.076499999999996,1,0
2012,9.71,42.16,101.86,7417,50.576,1,0
2013,9.15,42.39,101.65,6498,52.400999999999996,1,1
2014,8.9,42.74,101.39,6789,51.621,1,1
2015,8.87,43.08,101.26,7011,52.1845,1,1
2016,8.71,43.36,101.11,7279,47.5065,0,1
2017,8.29,43.66,100.94,7033,43.122,0,1
2018,7.8,43.91,100.8,7028,43.2875,0,1
2019,7.51,44.16,100.72,6842,37.555,0,1
2020,7.21,44.36,100.78,3154,40.099000000000004,0,1
2021,7.1,44.47,100.84,6159,34.9465,0,1
